Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity
2014,jan,2014-01-01,Andhra Pradesh,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1.0
2014,jan,2014-01-01,Andhra Pradesh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Andhra Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,Andhra Pradesh,OMNI BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Andhra Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Arunachal Pradesh,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Arunachal Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Arunachal Pradesh,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Arunachal Pradesh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Arunachal Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,Arunachal Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Assam,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Assam,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Assam,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Assam,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Assam,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,Assam,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Andaman & Nicobar Island,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Andaman & Nicobar Island,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Andaman & Nicobar Island,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Andaman & Nicobar Island,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Andaman & Nicobar Island,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,Andaman & Nicobar Island,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Bihar,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Bihar,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Bihar,M-CYCLE/SCOOTER-WITH SIDE CAR,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Bihar,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Bihar,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Bihar,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,Bihar,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Chhattisgarh,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Chhattisgarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,10.0
2014,jan,2014-01-01,Chhattisgarh,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Chhattisgarh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Chhattisgarh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,Chhattisgarh,OMNI BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Chhattisgarh,OMNI BUS (PRIVATE USE),Bus,Bus,0.0
2014,jan,2014-01-01,Chhattisgarh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Chandigarh,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Chandigarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Chandigarh,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Chandigarh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Chandigarh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,Chandigarh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,DNH and DD,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,DNH and DD,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,DNH and DD,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014,jan,2014-01-01,DNH and DD,OMNI BUS,Bus,Bus,0.0
2014,jan,2014-01-01,DNH and DD,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Delhi,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Delhi,LUXURY CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Delhi,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2.0
2014,jan,2014-01-01,Delhi,M-CYCLE/SCOOTER-WITH SIDE CAR,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Delhi,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Delhi,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014,jan,2014-01-01,Delhi,MOTOR CAR,4-Wheelers,4W_Personal,5.0
2014,jan,2014-01-01,Delhi,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014,jan,2014-01-01,Goa,BUS,Bus,Bus,0.0
2014,jan,2014-01-01,Goa,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Goa,MOPED,2-Wheelers,2W_Personal,0.0
2014,jan,2014-01-01,Goa,MOTOR CAB,4-Wheelers,4W_Shared,0.0
